# TinZr Multi Recording
# DateTime: 2025-12-18T22:03:37.807495
# Device: TinZrBlack
# Address: D8:85:AC:4E:38:6E
time_s,ax,ay,az,gx,gy,gz,red,ir,hr_bpm,spo2_pct,batt_pct
9.096784,-0.007000,-0.926000,0.415000,1.780000,-4.900000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
9.096784,-0.007000,-0.926000,0.412000,1.920000,-4.970000,-0.730000,0.000000,0.000000,0.00,0.00,83.00
9.096784,-0.007000,-0.924000,0.413000,1.820000,-4.790000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.096784,-0.009000,-0.928000,0.414000,1.820000,-4.900000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
9.096784,-0.007000,-0.927000,0.413000,1.990000,-4.970000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
9.096784,-0.010000,-0.927000,0.410000,2.030000,-4.900000,-0.770000,0.000000,0.000000,0.00,0.00,83.00
9.096784,-0.010000,-0.924000,0.410000,1.990000,-4.690000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
9.096784,-0.009000,-0.926000,0.411000,2.060000,-4.790000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
9.096784,-0.009000,-0.926000,0.410000,2.270000,-4.970000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
9.097867,-0.007000,-0.927000,0.412000,2.100000,-4.760000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
9.097867,-0.009000,-0.926000,0.413000,2.240000,-4.760000,-0.490000,0.000000,0.000000,0.00,0.00,83.00
9.097867,-0.010000,-0.924000,0.412000,2.410000,-4.900000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.097867,-0.010000,-0.925000,0.412000,2.310000,-4.830000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.097867,-0.009000,-0.925000,0.415000,2.310000,-4.860000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
9.097867,-0.008000,-0.927000,0.414000,2.310000,-5.000000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
9.097867,-0.009000,-0.926000,0.414000,2.380000,-5.040000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.097867,-0.011000,-0.924000,0.414000,2.270000,-5.000000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
9.097867,-0.008000,-0.923000,0.415000,2.170000,-4.900000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
9.157028,-0.011000,-0.926000,0.413000,2.130000,-5.000000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.157028,-0.007000,-0.926000,0.413000,2.170000,-5.040000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
9.157028,-0.009000,-0.924000,0.413000,2.030000,-4.790000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.157028,-0.008000,-0.925000,0.414000,1.960000,-4.860000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.157028,-0.009000,-0.926000,0.413000,1.960000,-5.040000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.157028,-0.007000,-0.924000,0.413000,1.820000,-4.720000,-0.730000,0.000000,0.000000,0.00,0.00,83.00
9.157028,-0.007000,-0.924000,0.410000,1.890000,-4.790000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.157028,-0.008000,-0.924000,0.413000,1.920000,-4.970000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
